camara,Entidad,orden,distrito,partido,nombre,tipo,idDirectorio,Género
diputados,Jalisco,6,Zapopan,MC,Loya Hernández Fabiola Raquel Guadalupe,distrito,269,Mujer
diputados,II Circunscripción,1,,MC,Lozano Mac Donald María del Pilar,circunscripcion,270,Mujer
diputados,Tamaulipas,4,H. Matamoros,PES,Lozano Rodríguez Adriana,distrito,271,Mujer
diputados,Aguascalientes,1,Jesús María,PAN,Luévano Núñez Francisco Javier,distrito,272,Varón
diputados,Puebla,14,Acatlán De Osorio,PT,Maceda Carrera Nelly,distrito,273,Mujer
diputados,Querétaro,4,Santiago De Querétaro,PAN,Macías Olvera Felipe Fernando,distrito,274,Varón
diputados,IV Circunscripción,29,,MC,Macías Rábago Julieta,circunscripcion,275,Mujer
diputados,Zacatecas,1,Fresnillo,MORENA,Maldonado Tapia Mirna Zabeida,distrito,276,Mujer
diputados,Estado De México,16,Ecatepec De Morelos,PT,Manzanilla Téllez Emilio,distrito,277,Varón
diputados,Guerrero,5,Tlapa,MORENA,Manzano Salazar Javier,distrito,278,Varón
diputados,I Circunscripción,25,,PAN,Mares Aguilar José Rigoberto,circunscripcion,279,Varón
diputados,I Circunscripción,9,,MORENA,Márquez González Miguel Ángel,circunscripcion,280,Varón
diputados,III Circunscripción,9,,MORENA,Martínez Aguilar Emeteria Claudia,circunscripcion,281,Mujer
diputados,Campeche,1,San Francisco De Campeche,MORENA,Martínez Aké Carlos Enrique,distrito,282,Varón
diputados,Veracruz,16,Córdoba,MORENA,Martínez Flores Juan,distrito,283,Varón
diputados,IV Circunscripción,19,,MORENA,Martínez González Laura,circunscripcion,284,Mujer
diputados,II Circunscripción,17,,PAN,Martínez Juárez Jacquelina,circunscripcion,285,Mujer
diputados,III Circunscripción,38,,PT,Martínez Ruiz Maribel,circunscripcion,286,Mujer
diputados,IV Circunscripción,27,,PAN,Martínez Terrazas Oscar Daniel,circunscripcion,287,Varón
diputados,Estado De México,32,Valle De Chalco Solidaridad,PT,Martínez Ventura Luis Enrique,distrito,288,Varón
diputados,Estado De México,3,Atlacomulco De Fabela,PT,Marú Mejía María Teresa,distrito,289,Mujer
diputados,Chihuahua,5,Delicias,PAN,Mata Carrasco Mario,distrito,290,Varón
diputados,I Circunscripción,28,,PAN,Mata Lozano Lizbeth,circunscripcion,291,Mujer
diputados,V Circunscripción,6,,MORENA,Maya Martínez Hirepan,circunscripcion,292,Varón
diputados,Ciudad De México,6,La Magdalena Contreras,MORENA,Mayer Bretón Sergio,distrito,293,Varón
diputados,Veracruz,14,Minatitlán,MORENA,Medel Palma Carmen,distrito,294,Mujer
diputados,I Circunscripción,31,,PRI,Medina Herrera Benito,circunscripcion,295,Varón
diputados,Jalisco,12,Santa Cruz De Las Flores,MC,Medina Ortíz Adriana Gabriela,distrito,296,Mujer
diputados,III Circunscripción,18,,MORENA,Medina Pérez Marco Antonio,circunscripcion,297,Varón
diputados,Chihuahua,1,Juárez,MORENA,Mejía Cruz Maria Esther,distrito,298,Mujer
diputados,III Circunscripción,1,,MC,Méndez De La Luz Dauzón Dulce María,circunscripcion,299,Mujer
diputados,Ciudad De México,15,Benito Juárez,PAN,Mendoza Acevedo Luis Alberto,distrito,300,Varón
diputados,V Circunscripción,19,,MORENA,Mercado Torres Edith Marisol,circunscripcion,301,Mujer
diputados,III Circunscripción,7,,MORENA,Merino García Virginia,circunscripcion,302,Mujer
diputados,Guerrero,9,Acapulco,MORENA,Merlín García María del Rosario,distrito,303,Mujer
diputados,IV Circunscripción,6,,MORENA,Mier Velazco Moisés Ignacio,circunscripcion,304,Varón
diputados,Baja California,1,Mexicali,MORENA,Minor Mora Jesús Salvador,distrito,305,Varón
diputados,V Circunscripción,32,,PRI,Miranda Nava Luis Enrique,circunscripcion,306,Varón
diputados,Morelos,1,Cuernavaca,MORENA,Mojica Toledo Alejandro,distrito,307,Varón
diputados,Guerrero,1,Cd. Altamirano,MORENA,Mojica Wences Víctor Adolfo,distrito,308,Varón
diputados,Oaxaca,1,San Juan Bautista Tuxtepec,MORENA,Molina Espinoza Irineo,distrito,309,Varón
diputados,Estado De México,39,Los Reyes Acaquilpan,PT,Montalvo Luna José Luis,distrito,310,Varón
diputados,Durango,2,Gómez Palacio,MORENA,Montes Hernández María de Lourdes,distrito,311,Mujer
diputados,Querétaro,2,San Juan Del Río,MORENA,Montes Nieves Jorge Luis,distrito,312,Varón
diputados,Veracruz,9,Coatepec,MORENA,Mora García Carmen,distrito,313,Mujer
