id,apellido,nombre,partido,genero,Nacimiento,Comisiones,Posición
124,Rivera Castillo,Fortunato,Movimiento Regeneración Nacional,v,17/11/1955,Ganadería,Integrante
474,Martínez Flores,Juan,Movimiento Regeneración Nacional,v,03/04/1956,Comunicaciones y Transportes,Integrante
474,Martínez Flores,Juan,Movimiento Regeneración Nacional,v,03/04/1956,Salud,Integrante
528,Mejía Cruz,María Esther,Movimiento Regeneración Nacional,f,08/07/1956,Presupuesto y Cuenta Pública,Integrante
528,Mejía Cruz,María Esther,Movimiento Regeneración Nacional,f,08/07/1956,Vivienda,Integrante
178,Veloz Silva,María Luisa,Movimiento Regeneración Nacional,f,26/08/1956,Justicia,Integrante
178,Veloz Silva,María Luisa,Movimiento Regeneración Nacional,f,26/08/1956,Trabajo y Previsión Social,Integrante
591,Interian Gallegos,Limbert Iván de Jesús,Movimiento Regeneración Nacional,v,13/09/1956,"Ciencia, Tecnología e Innovación",Integrante
591,Interian Gallegos,Limbert Iván de Jesús,Movimiento Regeneración Nacional,v,13/09/1956,Seguridad Pública,Integrante
143,Ramírez Barba,Éctor Jaime,Partido Acción Nacional,v,01/12/1956,Seguridad Social,Integrante
143,Ramírez Barba,Éctor Jaime,Partido Acción Nacional,v,01/12/1956,Transparencia y Anticorrupción,Integrante
557,González Morales,Hildelisa,Partido del Trabajo,f,22/12/1956,"Desarrollo y Conservación Rural, Agrícola y Autosuficiencia Alimentaria",Integrante
7,Saldaña Pérez,María Lucero,Partido Revolucionario Institucional,f,18/01/1957,Federalismo y Desarrollo Municipal,Integrante
7,Saldaña Pérez,María Lucero,Partido Revolucionario Institucional,f,18/01/1957,Gobernación y Población,Integrante
237,Zamudio Macías,Martha Angélica,Movimiento Ciudadano,f,24/02/1957,Seguridad Social,Integrante
583,Herrera Pérez,Gonzalo,Movimiento Regeneración Nacional,v,07/07/1957,Asuntos Migratorios,Integrante
583,Herrera Pérez,Gonzalo,Movimiento Regeneración Nacional,v,07/07/1957,Ganadería,Integrante
14,Sánchez Barrios,Carlos,Movimiento Regeneración Nacional,v,17/08/1957,Comunicaciones y Transportes,Integrante
464,García Anaya,Lidia,Movimiento Regeneración Nacional,f,31/10/1957,Presupuesto y Cuenta Pública,Integrante
464,García Anaya,Lidia,Movimiento Regeneración Nacional,f,31/10/1957,Puntos Constitucionales,Integrante
240,Zertuche Zuani,Armando Javier,Partido del Trabajo,v,27/11/1957,Deporte,Integrante
240,Zertuche Zuani,Armando Javier,Partido del Trabajo,v,27/11/1957,Energía,Integrante
113,Palma Olvera,Carmen Patricia,Movimiento Regeneración Nacional,f,13/01/1958,Educación,Integrante
113,Palma Olvera,Carmen Patricia,Movimiento Regeneración Nacional,f,13/01/1958,Igualdad de Género,Integrante
466,García Corpus,Teófilo Manuel,Movimiento Regeneración Nacional,v,06/02/1958,Protección Civil y Prevención de Desastres,Integrante
466,García Corpus,Teófilo Manuel,Movimiento Regeneración Nacional,v,06/02/1958,Pueblos Indígenas,Integrante
415,Aguilar Molina,Leticia Arlett,Movimiento Regeneración Nacional,f,01/03/1958,"Desarrollo Metropolitano, Urbano, Ordenamiento Territorial y Movilidad",Integrante
415,Aguilar Molina,Leticia Arlett,Movimiento Regeneración Nacional,f,01/03/1958,Desarrollo Social,Integrante
83,Pérez Hernández,José Ángel,Partido Encuentro Social,v,01/03/1958,Gobernación y Población,Integrante
83,Pérez Hernández,José Ángel,Partido Encuentro Social,v,01/03/1958,Seguridad Pública,Integrante
443,Calderón Salas,Rodrigo,Movimiento Regeneración Nacional,v,05/04/1958,Seguridad Pública,Integrante
443,Calderón Salas,Rodrigo,Movimiento Regeneración Nacional,v,05/04/1958,Transparencia y Anticorrupción,Integrante
569,García Hernández,Jesús Fernando,Partido del Trabajo,v,30/05/1958,Marina,Integrante
569,García Hernández,Jesús Fernando,Partido del Trabajo,v,30/05/1958,Pesca,Integrante
253,Yunes Landa,Héctor,Partido Revolucionario Institucional,v,27/09/1958,Asuntos Migratorios,Integrante
253,Yunes Landa,Héctor,Partido Revolucionario Institucional,v,27/09/1958,Relaciones Exteriores,Integrante
594,Jiménez Andrade,Lorena del Socorro,Movimiento Regeneración Nacional,f,21/10/1958,"Desarrollo y Conservación Rural, Agrícola y Autosuficiencia Alimentaria",Integrante
594,Jiménez Andrade,Lorena del Socorro,Movimiento Regeneración Nacional,f,21/10/1958,"Recursos Hidráulicos, Agua Potable y Saneamiento",Integrante
236,Zamora Valdez,Casimiro,Movimiento Regeneración Nacional,v,15/11/1958,Economía Social y Fomento del Cooperativismo,Integrante
236,Zamora Valdez,Casimiro,Movimiento Regeneración Nacional,v,15/11/1958,Pesca,Integrante
527,Medina Pérez,Marco Antonio,Movimiento Regeneración Nacional,v,17/12/1958,Justicia,Integrante
527,Medina Pérez,Marco Antonio,Movimiento Regeneración Nacional,v,17/12/1958,Trabajo y Previsión Social,Integrante
